Hole Depth (feet),Bit Depth (feet),Rate Of Penetration (ft_per_hr),Weight on Bit (klbs),Rotary RPM (RPM),Standpipe Pressure (psi),Total Pump Output (gal_per_min),Differential Pressure (psi),Convertible Torque (kft_lb),Inclination (degrees),Azimuth (degrees),Gamma at Bit (api),Hook Load (klbs),Block Height (feet),Magnetic Toolface (degrees),Gravity Toolface (degrees),Rig Super State (unitless),Rig Sub State (unitless),RSS STEERING % (percent),RSS PRG STEERING % (percent),AutoDriller WOB SP (klbs),AutoDriller Diff Press SP (psi),AutoDriller On Bottom ROP Setpoint (ft_per_hr),YYYY/MM/DD,HH:MM:SS
2857,2857,752.25,67.4,55.68,4408.5,898.35,1414,25.058,14.39,215.52,44.54,83.6,44.1,113.49,129.38,1,1,6,0,67,1400,1020,9/14/2024,10:47:18
2858,2858,700.39,66.9,55.51,4304.76,899.68,1335.07,24.311,14.39,215.52,44.54,84,43.1,113.49,-140.63,1,1,6,0,67,1400,1020,9/14/2024,10:47:24
2859,2859,682.36,68.3,55.74,4317.26,899.02,1302.7,25.469,14.39,215.52,44.54,84.1,42,113.49,-140.63,1,1,6,0,67,1400,1020,9/14/2024,10:47:29
2860,2860,698.18,67.3,55.34,4316.01,899.68,1368.8,23.639,14.39,215.52,44.54,83.8,41.1,113.49,-140.63,1,1,6,0,67,1400,1020,9/14/2024,10:47:33
2861,2861,710.93,69,55.39,4412.26,899.01,1426.17,24.909,14.39,215.52,11.29,82.5,40.1,113.49,-140.63,1,1,6,0,67,1400,1020,9/14/2024,10:47:39
2862,2862,715,65.8,55.74,4344.76,899.02,1426.17,23.042,14.39,215.52,11.29,114.7,39.1,113.49,-168.75,1,1,6,0,67,1400,1020,9/14/2024,10:47:43
2863,2863,729.74,58.9,55.74,3938.51,899.68,959.31,21.025,14.39,215.52,11.29,105.3,38.1,113.49,-168.75,1,1,6,0,67,1400,1020,9/14/2024,10:47:47
2864,2864,754.68,70,55.45,4298.51,899.02,1313.96,24.162,14.39,215.52,11.29,81.7,37,113.49,-168.75,1,1,6,0,67,1400,1020,9/14/2024,10:47:52
2865,2865,792.86,69.2,55.65,4241.01,899.02,1316.09,23.826,14.39,215.52,11.29,83.8,36.1,113.49,-168.75,1,1,6,0,67,1400,1020,9/14/2024,10:47:56
2866,2866,811.49,68,55.51,4343.51,899.01,1345.25,23.789,14.39,215.52,11.29,82.1,35.1,113.49,-168.75,1,1,6,0,67,1400,1020,9/14/2024,10:48:01
2867,2867,808.33,66.1,55.45,4227.26,899.68,1274.64,22.444,14.39,215.52,11.29,83.1,34.1,113.49,-157.5,1,1,6,0,67,1400,1020,9/14/2024,10:48:05
2868,2868,794.64,69.8,55.31,4322.26,899.68,1382.19,24.76,14.39,215.52,11.29,84.1,33.1,113.49,-157.5,1,1,6,0,67,1400,1020,9/14/2024,10:48:10
2869,2869,777.49,64.5,56.2,4166.01,899.68,1251.31,22.257,14.39,215.52,11.29,99.5,32.1,113.49,-157.5,1,1,6,0,67,1400,1020,9/14/2024,10:48:14
2870,2870,776.88,72.6,55.65,4401,900.35,1431.9,25.955,14.39,215.52,21.33,81.5,31.1,113.49,180,1,1,6,0,67,1400,1020,9/14/2024,10:48:22
2871,2871,748.43,69.5,55.94,4412.26,898.35,1440.52,26.328,14.39,215.52,21.33,81.3,30.1,113.49,146.25,1,1,6,0,67,1400,1020,9/14/2024,10:48:30
2872,2872,624.86,67.5,55.74,4367.25,899.68,1417.94,25.917,14.39,215.52,21.33,82.2,29.1,113.49,146.25,1,1,6,0,67,1400,1020,9/14/2024,10:48:38
2873,2873,494.81,69.1,55.97,4387.25,899.02,1387.88,25.544,14.39,215.52,21.33,81.2,28.1,113.49,146.25,1,1,6,0,67,1400,1020,9/14/2024,10:48:46
2874,2874,459.27,69.7,55.51,4361,899.01,1380.2,26.141,14.39,215.52,21.33,80.7,27.1,113.49,146.25,1,1,6,0,67,1400,1020,9/14/2024,10:48:56
2875,2875,435.64,69.3,55.91,4381,898.35,1424.04,26.141,14.39,215.52,69.63,84.9,26.1,113.49,-174.38,1,1,6,0,67,1400,1020,9/14/2024,10:49:05
2876,2876,386.7,69.3,55.68,4363.51,899.02,1363.21,24.274,14.39,215.52,69.63,82.4,25.1,113.49,-174.38,1,1,6,0,67,1400,1020,9/14/2024,10:49:14
2877,2877,395.96,66.6,56.37,4278.5,899.68,1340.4,23.938,14.39,215.52,75.91,101.2,24.1,113.49,-151.88,1,1,6,0,67,1400,900,9/14/2024,10:49:21
2878,2878,442.26,49,56,3889.76,899.68,977.08,20.241,14.39,215.52,75.91,104.8,23.2,113.49,-151.88,1,1,6,0,67,1400,990,9/14/2024,10:49:26
2879,2879,511.61,64,55.22,4234.76,899.68,1178.12,24.834,14.39,215.52,75.91,96.8,22,113.49,-151.88,1,1,6,0,67,1400,1000,9/14/2024,10:49:30
2880,2880,634.11,68.3,55.45,4452.26,898.35,1439.51,24.834,14.39,215.52,75.91,85.3,21.1,113.49,-151.88,1,1,6,0,67,1400,1000,9/14/2024,10:49:36
2881,2881,700.13,66.6,55.68,4402.27,899.02,1437.85,25.432,14.39,215.52,75.91,87.6,20.1,113.49,180,1,1,6,0,67,1400,1000,9/14/2024,10:49:41
2882,2882,709.6,66.7,55.8,4172.26,899.68,1278.38,23.042,14.39,215.52,75.91,89.6,19.2,113.49,180,1,1,6,0,67,1400,1000,9/14/2024,10:49:45
2883,2883,709.39,68.3,55.11,4288.51,899.68,1292.71,23.527,14.39,215.52,75.91,80.4,18.1,113.49,180,1,1,6,0,67,1400,1000,9/14/2024,10:49:51
2884,2884,720.35,67,55.31,4202.26,899.01,1273.76,22.257,14.39,215.52,75.91,82.7,17.1,113.49,180,1,1,6,0,67,1400,1000,9/14/2024,10:49:56
2885,2885,738.66,65.2,55.36,4146.01,900.34,1244.71,20.39,14.39,215.52,72.77,82.9,16,113.49,-146.25,1,1,6,0,68,1400,1000,9/14/2024,10:50:00
2886,2886,756.58,66.6,55.34,4108.51,899.02,1103.26,20.913,14.39,215.52,72.77,82.7,15.1,113.49,-146.25,1,1,6,0,68,1400,1000,9/14/2024,10:50:04
2887,2887,776.73,65.2,55.74,3994.75,900.34,1090.92,20.129,14.39,215.52,72.77,120.8,14.1,113.49,-146.25,1,1,6,0,68,1400,1000,9/14/2024,10:50:08
2888,2888,807.33,28.5,55.65,3663.5,901.01,738.09,14.602,14.39,215.52,72.77,124.2,13.1,113.49,-146.25,1,1,6,0,68,1400,1030,9/14/2024,10:50:11
2889,2889,849.32,47.6,55.34,3611.01,901.01,599.46,19.755,14.39,215.52,72.77,124.9,12.1,113.49,-135,1,1,6,0,68,1400,1100,9/14/2024,10:50:15
2890,2890,903.03,55.9,56.66,3938.51,900.34,990.03,20.913,14.39,215.52,72.77,119.8,11,113.49,-135,1,1,6,0,68,1400,1100,9/14/2024,10:50:18
2891,2891,957.94,50.2,54.73,3856.01,899.68,814.71,20.203,14.39,215.52,72.77,115.4,10.1,113.49,-135,1,1,6,0,68,1400,1100,9/14/2024,10:50:21
2892,2892,1014.98,73.1,55.36,4292.25,899.68,1310.6,23.154,14.39,215.52,72.77,91.6,9.1,113.49,-135,1,1,6,0,68,1400,1100,9/14/2024,10:50:26
2893,2893,1019.26,70,55.65,4436.02,899.01,1404.13,25.208,14.39,215.52,39.52,81.2,8.1,113.49,-168.75,1,1,6,0,68,1400,1100,9/14/2024,10:50:31
2894,2894,999.17,69.4,55.22,4409.76,899.68,1415.83,24.125,14.39,215.52,39.52,80.8,7.1,113.49,112.5,1,1,6,0,68,1400,1100,9/14/2024,10:50:36
2895,2895,908.33,69,55.39,4448.5,900.34,1430.13,24.946,14.39,215.52,39.52,80.5,6.1,113.49,112.5,1,1,6,0,68,1400,1100,9/14/2024,10:50:42
2896,2896,776.44,67.3,55.48,4388.5,903.66,1414.54,23.676,14.39,215.52,39.52,85.8,5.1,113.49,112.5,1,1,6,0,68,1400,1100,9/14/2024,10:50:47
2897,2897,699.75,65.2,56.17,4313.5,899.02,1342.7,22.295,14.39,215.52,20.07,107.6,4,113.49,112.5,1,1,6,0,68,1400,1100,9/14/2024,10:50:51
2898,2898,91.34,36.8,55.39,3919.75,901.01,943.09,20.278,14.39,215.52,20.07,132.2,97.3,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:53:39
2899,2899,195.56,48.5,55.28,3979.76,900.34,1030.87,22.183,14.39,215.52,20.07,112,96.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:53:44
2900,2900,371.36,58.8,55.65,4312.26,899.68,1291.9,23.564,14.39,215.52,20.07,98.7,95.3,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:53:49
2901,2901,550.63,63.5,55.74,4368.52,899.02,1424.91,23.863,14.39,215.52,20.07,89.9,94.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:53:54
2902,2902,660.4,65.5,55.59,4407.26,899.68,1463.68,25.096,14.39,215.52,20.07,88.8,93.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:00
2903,2903,685.94,63.1,55.45,4394.75,899.02,1415.62,25.208,14.39,215.52,20.07,90.4,92.3,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:05
2904,2904,686.15,64,55.31,4427.26,899.01,1429.87,25.208,14.39,215.52,20.07,88.9,91.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:11
2905,2905,677.28,65.5,55.19,4356.01,898.35,1383.11,22.967,14.39,215.52,20.07,87.2,90.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:16
2906,2906,687.31,69.1,55.34,4361,899.02,1379.81,25.245,14.39,215.52,20.07,82,89.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:20
2907,2907,707.1,69.4,55.85,4398.51,899.01,1454.64,25.245,14.39,215.52,20.07,82.7,88.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:26
2908,2908,717.33,68.9,55.34,4324.76,898.35,1368.37,23.303,14.39,215.52,20.07,82.3,87.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:31
2909,2909,715.27,69.6,55.45,4267.26,900.34,1328.92,23.789,14.39,215.52,20.07,85.8,86.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:36
2910,2910,707.33,72.7,55.57,4394.75,899.68,1432.62,25.88,14.39,215.52,20.07,84.3,85.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:44
2911,2911,662.46,71.5,56.71,4492.26,899.01,1488.29,26.851,14.39,215.52,20.07,96.8,84.2,113.49,151.88,1,1,6,0,68,1400,1100,9/14/2024,10:54:55
2912,2912,475.2,69.4,56.05,4427.26,899.02,1439.37,24.76,14.39,215.52,20.07,89.1,83.2,113.49,151.88,1,1,6,0,68,1400,850,9/14/2024,10:55:04
2913,2913,372.55,69.4,56.14,4487.26,899.68,1483.51,26.44,14.39,215.52,20.07,89.4,82.2,113.49,151.88,1,1,6,0,68,1400,700,9/14/2024,10:55:14
2914,2914,375.64,70.2,56.37,4388.5,899.02,1423.12,25.88,14.39,215.52,20.07,89.5,81.3,113.49,151.88,1,1,6,0,68,1400,700,9/14/2024,10:55:25
2915,2915,362.13,70.3,56.91,4369.76,899.68,1396.6,25.282,14.39,215.52,20.07,84,80.2,113.49,151.88,1,1,6,0,68,1400,700,9/14/2024,10:55:37
2916,2916,325.89,70.5,56.89,4434.75,899.02,1445.98,27.784,14.39,215.52,20.07,88.8,79.2,113.49,151.88,1,1,6,0,68,1400,700,9/14/2024,10:55:51
2917,2917,269.37,68.2,57.12,4391.01,899.02,1424.03,27.448,14.39,215.52,20.07,86.1,78.3,113.49,151.88,1,1,6,0,69,1400,700,9/14/2024,10:56:06
2918,2918,274.53,64.9,56.17,4336.01,899.68,1388.77,24.423,14.39,215.52,20.07,96.8,77.2,113.49,174.38,1,1,6,0,69,1400,700,9/14/2024,10:56:13
2919,2919,344.99,56.4,55.59,3989.76,899.68,1103.32,18.486,14.39,215.52,20.07,122.8,76.2,113.49,174.38,1,1,6,0,69,1400,860,9/14/2024,10:56:19
2920,2920,441.91,44.2,55.42,4011.01,899.68,1044.02,20.017,14.39,215.52,35.13,108.4,75.2,113.49,174.38,1,1,6,0,68,1400,880,9/14/2024,10:56:23
2921,2921,568.43,50,55.36,3923.51,900.35,941.93,19.83,14.39,215.52,35.13,106.2,74.2,113.49,174.38,1,1,6,0,68,1400,880,9/14/2024,10:56:27
2922,2922,697.85,72,55.34,4372.26,899.68,1364.76,24.685,14.11,216.6,35.13,92.3,73.2,113.49,163.13,1,1,6,0,68,1400,880,9/14/2024,10:56:32
2923,2923,769.38,68.4,55.74,4372.26,898.35,1417.53,23.191,14.11,216.6,35.13,86.5,72.2,113.49,174.38,1,1,6,0,68,1400,880,9/14/2024,10:56:37
2924,2924,790.89,70.1,55.65,4186.01,899.02,1201.63,22.818,14.11,216.6,35.13,88.3,71.2,113.49,174.38,1,1,6,0,68,1400,880,9/14/2024,10:56:42
2925,2925,788.5,70,55.62,4456,899.02,1418.8,23.602,14.11,216.6,35.13,86.1,70.2,113.49,174.38,1,1,6,0,68,1400,880,9/14/2024,10:56:47
2926,2926,751.42,68.1,55.77,4394.75,898.35,1384.18,23.602,14.11,216.6,22.58,85.2,69.2,113.49,174.38,1,1,6,0,68,1400,880,9/14/2024,10:56:52
2927,2927,734.31,68.7,55.54,4404.76,898.35,1409.9,23.527,14.11,216.6,22.58,83,68.2,113.49,-163.13,1,1,6,0,68,1400,880,9/14/2024,10:56:57
2928,2928,711.3,69.5,56.23,4422.25,899.68,1422.87,23.938,14.11,216.6,22.58,114.2,67.2,113.49,-163.13,1,1,6,0,68,1400,880,9/14/2024,10:57:02
2929,2929,709.38,38.9,55.82,3819.76,901.01,932.09,17.963,14.11,216.6,22.58,135,66.2,113.49,-163.13,1,1,6,0,68,1400,880,9/14/2024,10:57:07
2930,2930,722.22,23.5,55.05,3614.75,901.67,637.46,13.817,14.11,216.6,22.58,136.2,65.2,113.49,-163.13,1,1,6,0,68,1400,920,9/14/2024,10:57:11
2931,2931,752.11,67.7,55.22,3891.01,901.01,812.35,22.967,14.11,216.6,22.58,121.7,64.1,113.49,-163.13,1,1,6,0,68,1400,950,9/14/2024,10:57:14
2932,2932,781.54,78.1,55.48,4396.01,899.02,1474.62,25.581,14.11,216.6,22.58,84.8,63.2,113.49,-163.13,1,1,6,0,68,1400,950,9/14/2024,10:57:24
2933,2933,751.71,73,56.89,4466.01,899.01,1501.56,27.784,14.11,216.6,22.58,85.1,62.2,113.49,-163.13,1,1,6,0,68,1400,950,9/14/2024,10:57:36
2934,2934,413.1,70.4,56.57,4419.76,899.02,1450.7,27.56,14.11,216.6,44.54,89.8,61.2,113.49,-174.38,1,1,6,0,68,1400,950,9/14/2024,10:57:48
2935,2935,321.69,66.1,56.14,4428.5,899.02,1418.35,25.618,14.11,216.6,44.54,86.9,60.2,113.49,-174.38,1,1,6,0,68,1400,950,9/14/2024,10:57:57
2936,2936,384.18,67.7,56.08,4489.75,899.68,1442.51,25.32,14.11,216.6,31.99,85.6,59.2,113.49,163.13,1,1,6,0,68,1400,950,9/14/2024,10:58:06
2937,2937,400.69,70.5,56.94,4478.51,899.68,1417.85,26.926,14.11,216.6,31.99,83.2,58.2,113.49,163.13,1,1,6,0,68,1400,950,9/14/2024,10:58:18
2938,2938,377.08,71.2,56.54,4358.51,900.35,1375.48,27.448,14.11,216.6,31.99,130.7,57.3,113.49,174.38,1,1,6,0,68,1400,950,9/14/2024,10:58:28
2939,2939,324.28,44.7,55.51,3824.75,900.35,833.38,20.091,14.11,216.6,31.99,127.2,56.3,113.49,174.38,1,1,6,0,68,1400,950,9/14/2024,10:58:33
2940,2940,406.34,53,55.39,4222.26,899.68,1206.64,23.154,14.11,216.6,31.99,100.9,55.1,113.49,174.38,1,1,6,0,68,1400,950,9/14/2024,10:58:37
2941,2941,549.26,62.4,54.99,4332.26,897.69,1338.21,23.714,14.11,216.6,18.19,93.6,54.2,113.49,168.75,1,1,6,0,68,1400,950,9/14/2024,10:58:42
2942,2942,687.41,66,55.36,4413.51,899.01,1464,23.564,14.11,216.6,18.19,91.5,53.1,113.49,168.75,1,1,6,0,68,1400,950,9/14/2024,10:58:48
2943,2943,726.91,65.1,55.62,4416.02,898.35,1431.99,24.722,14.11,216.6,11.92,92.2,52.2,113.49,168.75,1,1,6,0,68,1400,950,9/14/2024,10:58:54
2944,2944,724.76,56.4,56.57,4257.26,900.34,1348.2,22.967,14.11,216.6,11.92,126.1,51.2,113.49,168.75,1,1,6,0,68,1400,950,9/14/2024,10:58:58
2945,2945,692.56,62.3,55.14,4248.51,899.02,1134.82,24.274,14.11,216.6,11.92,112.6,50.2,113.49,-168.75,1,1,6,0,68,1400,950,9/14/2024,10:59:02
2946,2946,707.2,69.3,55.57,4441.01,899.01,1447.19,24.349,14.11,216.6,11.92,83.6,49.2,113.49,-168.75,1,1,6,0,68,1400,950,9/14/2024,10:59:07
2947,2947,764.48,70.3,55.59,4399.76,898.35,1439.38,24.61,14.11,216.6,11.92,92.3,48.2,113.49,-168.75,1,1,6,0,68,1400,950,9/14/2024,10:59:12
2948,2948,774.1,66.1,55.8,4473.51,899.01,1439.38,24.199,14.11,216.6,11.92,97.9,47.2,113.49,-168.75,1,1,6,0,68,1400,950,9/14/2024,10:59:17
2949,2949,765.79,71.8,56.57,4561.01,899.02,1546.74,26.403,14.11,216.6,11.92,107.4,46.2,113.49,174.38,1,1,6,0,68,1400,950,9/14/2024,10:59:26
2950,2950,646.63,71.7,56.17,4584.75,899.01,1590.27,26.851,14.11,216.6,65.24,115.2,45.2,113.49,174.38,1,1,6,0,68,1400,950,9/14/2024,10:59:35
2951,2951,511.02,48.5,55.45,4217.26,899.02,1235.74,21.996,14.11,216.6,65.24,107.3,44.2,113.49,-174.38,1,1,6,0,68,1400,950,9/14/2024,10:59:40
2952,2952,501.58,57.2,55.45,4297.26,898.35,1337.15,22.631,14.11,216.6,65.24,98.9,43.2,113.49,-174.38,1,1,6,0,68,1400,980,9/14/2024,10:59:44
2953,2953,580.26,62.8,55.22,4432.26,897.69,1436.63,23.116,14.11,216.6,65.24,88.5,42.2,113.49,-157.5,1,1,6,0,68,1400,990,9/14/2024,10:59:49
2954,2954,654.78,62.8,55.39,4358.51,899.02,1442.86,25.133,14.11,216.6,65.24,87.4,41.2,113.49,-157.5,1,1,6,0,68,1400,990,9/14/2024,10:59:54
2955,2955,719.68,67.6,55.85,4377.26,899.01,1436.07,25.506,14.11,216.6,65.24,90.6,40.3,113.49,-157.5,1,1,6,0,68,1400,990,9/14/2024,10:59:59
2956,2956,730.29,67,55.28,4354.77,898.35,1396.89,23.826,14.11,216.6,78.41,86.2,39.2,113.49,-157.5,1,1,6,0,68,1400,990,9/14/2024,11:00:04
2957,2957,733.21,68.5,55.59,4392.26,898.35,1434.61,24.498,14.11,216.6,78.41,84.2,38.3,113.49,168.75,1,1,6,0,68,1400,990,9/14/2024,11:00:09
2958,2958,737.97,63.8,55.65,4282.26,899.68,1311.25,21.249,14.11,216.6,78.41,104.9,37.1,113.49,168.75,1,1,6,0,68,1400,990,9/14/2024,11:00:13
2959,2959,765.55,51.5,55.57,3997.26,900.34,1161.88,17.179,14.11,216.6,78.41,120.8,36.2,113.49,168.75,1,1,6,0,68,1400,990,9/14/2024,11:00:16
2960,2960,799.97,50.5,55.94,4001,899.02,1018.27,20.876,14.11,216.6,78.41,105.2,35.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:00:20
2961,2961,845.52,66.2,55.08,4148.51,899.01,1178.9,22.183,14.11,216.6,78.41,90.8,34.1,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:00:24
2962,2962,910.37,76.7,55.31,4411.01,899.01,1441,23.602,14.11,216.6,78.41,81.8,33.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:00:30
2963,2963,907.2,71.6,56.34,4553.51,898.35,1547.25,26.141,14.11,216.6,78.41,110.3,32.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:00:39
2964,2964,718.01,54.8,55.51,4252.25,899.01,1259.67,24.498,14.11,216.6,78.41,102.6,31.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:00:44
2965,2965,552.97,57.5,55.88,4307.25,899.01,1361.14,24.498,14.11,216.6,78.41,105.2,30.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:00:49
2966,2966,556.81,65,54.93,4216.01,899.02,1210.73,23.452,14.11,216.6,78.41,96.2,29.1,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:00:53
2967,2967,688.48,71.3,55.74,4559.76,898.35,1556.13,25.618,14.11,216.6,78.41,108.8,28.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:01:01
2968,2968,691.5,61.3,56.02,4444.76,899.02,1511.18,25.544,14.11,216.6,78.41,113.2,27.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:01:10
2969,2969,541.04,57.3,55.19,4344.76,898.35,1384.1,23.789,14.11,216.6,78.41,103.8,26.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:01:16
2970,2970,479.87,61.4,55.57,4427.26,899.02,1448.29,23.714,14.11,216.6,78.41,91.3,25.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:01:23
2971,2971,537.5,66,55.57,4396.01,899.01,1397.84,23.191,14.11,216.6,78.41,90.3,24.2,113.49,129.38,1,1,6,0,68,1400,990,9/14/2024,11:01:28
2972,2972,568.99,67.5,55.48,4539.76,898.35,1473.63,25.394,14.11,216.6,35.13,93.4,23.2,113.49,-168.75,1,1,6,0,68,1400,990,9/14/2024,11:01:36
2973,2973,573.33,62.9,55.42,4422.25,898.35,1469.13,24.274,14.11,216.6,35.13,91.6,22.2,113.49,-168.75,1,1,6,0,68,1400,990,9/14/2024,11:01:42
2974,2974,561.85,63.8,55.85,4429.77,898.35,1407.83,24.872,14.11,216.6,18.82,91.5,21.2,113.49,-168.75,1,1,6,0,68,1400,990,9/14/2024,11:01:47
2975,2975,563.17,63.8,55.8,4457.26,898.35,1490.45,23.527,14.11,216.6,18.82,92.2,20.2,113.49,174.38,1,1,6,0,68,1400,990,9/14/2024,11:01:54
2976,2976,589.83,58.8,56,4306,899.68,1343.78,19.979,14.11,216.6,18.82,125.2,19.2,113.49,-163.13,1,1,6,0,68,1400,990,9/14/2024,11:01:58
2977,2977,636.61,33,55.48,3628.5,900.35,695.6,14.49,14.11,216.6,18.82,124.7,18.2,113.49,-163.13,1,1,6,0,68,1400,990,9/14/2024,11:02:01
2978,2978,697.9,58.2,55.05,4056,901.01,1041.2,22.108,14.11,216.6,18.82,109.8,17.2,113.49,-163.13,1,1,6,0,68,1400,990,9/14/2024,11:02:05
2979,2979,797.26,71.7,55.25,4413.51,899.68,1396.34,24.722,14.11,216.6,18.82,81,16.1,113.49,-163.13,1,1,6,0,68,1400,990,9/14/2024,11:02:10
2980,2980,836.85,71.7,55.45,4434.75,899.68,1456.79,24.722,14.11,216.6,16.31,94.4,15.2,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:02:17
2981,2981,827.76,60.8,56.4,4369.76,899.68,1387.8,22.481,14.11,216.6,16.31,126.2,14.2,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:02:21
2982,2982,771.55,47.8,56.77,3983.51,899.68,1015.23,21.623,14.11,216.6,16.31,125.7,13.2,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:02:25
2983,2983,717.9,70.4,55.25,4357.26,899.01,1384.39,23.49,14.11,216.6,16.31,87.8,12.2,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:02:29
2984,2984,752.28,71.2,55.45,4499.76,899.01,1519.16,24.647,14.11,216.6,16.31,103.3,11.2,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:02:37
2985,2985,752.18,62.5,55.65,4453.51,899.68,1489.08,24.61,14.11,216.6,19.45,98.9,10.2,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:02:43
2986,2986,684.31,57.6,55.28,4353.5,897.69,1325.58,22.481,14.11,216.6,19.45,97.2,9.2,113.49,151.88,1,1,6,0,68,1400,990,9/14/2024,11:02:48
2987,2987,617,63.6,55.42,4411.01,899.01,1448.14,24.013,14.11,216.6,19.45,91.7,8.2,113.49,-168.75,1,1,6,0,68,1400,990,9/14/2024,11:02:54
2988,2988,629.06,57.3,55.91,4369.76,899.01,1447.79,23.415,14.11,216.6,19.45,98,7.3,113.49,-168.75,1,1,6,0,68,1400,990,9/14/2024,11:03:00
2989,2989,638.33,64.2,55.28,4499.76,899.02,1463.04,24.087,14.11,216.6,19.45,90.1,6.2,113.49,-168.75,1,1,6,0,68,1400,990,9/14/2024,11:03:06
2990,2990,627.07,65.3,55.74,4269.76,899.68,1398.32,23.004,14.11,216.6,72.77,90.1,5.3,113.49,-168.75,1,1,6,0,68,1400,990,9/14/2024,11:03:10
2991,2991,641.84,69.7,55.22,4424.76,898.35,1445.18,23.452,14.11,216.6,72.77,83.7,4.2,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:03:16
2992,2992,102.13,37.8,54.93,3663.5,902.33,533.93,19.718,14.11,216.6,72.77,154.8,97.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:15
2993,2993,208.73,51.1,55.45,4001,899.68,983.51,20.54,14.11,216.6,72.77,115.5,96.5,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:20
2994,2994,349.57,65.9,55.31,4292.25,899.02,1252.68,22.93,14.11,216.6,72.77,98.9,95.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:25
2995,2995,531.44,64.9,55.25,4332.26,899.68,1266.57,21.473,14.11,216.6,72.77,93.4,94.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:30
2996,2996,672.1,71.3,55.28,4354.77,899.68,1306.35,24.349,14.11,216.6,72.77,93.7,93.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:35
2997,2997,737.36,69.6,55.34,4391.01,899.68,1359.39,23.789,14.11,216.6,72.77,89,92.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:40
2998,2998,742.47,68.9,55.97,4483.52,898.35,1400.98,23.789,14.11,216.6,72.77,90.7,91.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:46
2999,2999,727.01,69.7,56.17,4459.76,898.35,1405.5,24.423,14.11,216.6,72.77,90.8,90.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:52
3000,3000,666.57,69,56.43,4439.76,899.68,1394.92,24.125,14.11,216.6,72.77,107.8,89.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:06:58
3001,3001,621.11,48.2,55.74,4096,900.34,1165.5,19.867,14.11,216.6,72.77,115.5,88.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:07:02
3002,3002,661.47,74.7,55.74,4483.52,899.02,1411.37,26.664,14.11,216.6,72.77,97.2,87.4,113.49,180,1,1,6,0,68,1400,990,9/14/2024,11:07:09
3003,3003,665.33,73.8,57.12,4492.26,899.68,1448.47,26.664,14.11,216.6,72.77,105.1,86.5,113.49,180,1,1,6,0,65,1400,990,9/14/2024,11:07:16
3004,3004,638.6,65.9,56,4394.75,898.35,1341.59,25.581,14.11,216.6,72.77,96.5,85.4,113.49,180,1,1,6,0,65,1400,990,9/14/2024,11:07:22
3005,3005,563.66,65.8,56.02,4439.76,898.35,1360.5,24.05,14.11,216.6,72.77,94.2,84.4,113.49,180,1,1,6,0,65,1400,990,9/14/2024,11:07:27
